timestamp,subcarrier01_mag,subcarrier01_ang,subcarrier02_mag,subcarrier02_ang,subcarrier03_mag,subcarrier03_ang,subcarrier04_mag,subcarrier04_ang,subcarrier05_mag,subcarrier05_ang,subcarrier06_mag,subcarrier06_ang,subcarrier07_mag,subcarrier07_ang,subcarrier08_mag,subcarrier08_ang,subcarrier09_mag,subcarrier09_ang,subcarrier10_mag,subcarrier10_ang,subcarrier11_mag,subcarrier11_ang,subcarrier12_mag,subcarrier12_ang,subcarrier13_mag,subcarrier13_ang,subcarrier14_mag,subcarrier14_ang,subcarrier15_mag,subcarrier15_ang,subcarrier16_mag,subcarrier16_ang,subcarrier17_mag,subcarrier17_ang,subcarrier18_mag,subcarrier18_ang,subcarrier19_mag,subcarrier19_ang,subcarrier20_mag,subcarrier20_ang,subcarrier21_mag,subcarrier21_ang,subcarrier22_mag,subcarrier22_ang,subcarrier23_mag,subcarrier23_ang,subcarrier24_mag,subcarrier24_ang,subcarrier25_mag,subcarrier25_ang,subcarrier26_mag,subcarrier26_ang,subcarrier27_mag,subcarrier27_ang,subcarrier28_mag,subcarrier28_ang,subcarrier29_mag,subcarrier29_ang,subcarrier30_mag,subcarrier30_ang,subcarrier31_mag,subcarrier31_ang,subcarrier32_mag,subcarrier32_ang,subcarrier33_mag,subcarrier33_ang,subcarrier34_mag,subcarrier34_ang,subcarrier35_mag,subcarrier35_ang,subcarrier36_mag,subcarrier36_ang,subcarrier37_mag,subcarrier37_ang,subcarrier38_mag,subcarrier38_ang,subcarrier39_mag,subcarrier39_ang,subcarrier40_mag,subcarrier40_ang,subcarrier41_mag,subcarrier41_ang,subcarrier42_mag,subcarrier42_ang,subcarrier43_mag,subcarrier43_ang,subcarrier44_mag,subcarrier44_ang,subcarrier45_mag,subcarrier45_ang,subcarrier46_mag,subcarrier46_ang,subcarrier47_mag,subcarrier47_ang,subcarrier48_mag,subcarrier48_ang,subcarrier49_mag,subcarrier49_ang,subcarrier50_mag,subcarrier50_ang,subcarrier51_mag,subcarrier51_ang,subcarrier52_mag,subcarrier52_ang,subcarrier53_mag,subcarrier53_ang,subcarrier54_mag,subcarrier54_ang,subcarrier55_mag,subcarrier55_ang,subcarrier56_mag,subcarrier56_ang,subcarrier57_mag,subcarrier57_ang,subcarrier58_mag,subcarrier58_ang,subcarrier59_mag,subcarrier59_ang,subcarrier60_mag,subcarrier60_ang,subcarrier61_mag,subcarrier61_ang,subcarrier62_mag,subcarrier62_ang,subcarrier63_mag,subcarrier63_ang,subcarrier64_mag,subcarrier64_ang,head_x,head_y,head_z,chest_x,chest_y,chest_z,left_elbow_x,left_elbow_y,left_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_elbow_x,right_elbow_y,right_elbow_z,right_hand_x,right_hand_y,right_hand_z,hip_x,hip_y,hip_z,left_knee_x,left_knee_y,left_knee_z,left_foot_x,left_foot_y,left_foot_z,right_knee_x,right_knee_y,right_knee_z,right_foot_x,right_foot_y,right_foot_z
783.077,97,2,0,0,0,0,13,-1,12,-1,11,-1,11,-1,10,-1,10,-1,9,-1,8,-1,7,-1,7,-1,7,-1,6,-1,6,-1,0,0,6,-1,5,-1,6,-1,6,-1,6,-1,6,-1,7,-1,8,-1,8,-1,8,-1,9,-1,9,-1,10,-1,0,0,0,0,1,-2,21,0,22,0,23,0,24,0,24,0,25,0,26,1,27,1,28,1,28,1,29,1,30,1,32,1,34,1,34,1,36,1,38,1,39,1,40,2,41,2,44,2,44,2,45,2,47,2,48,2,50,2,48,2,50,2,50,2,0,0,0,0,0.6180198192596436,0.5093184113502502,-1.3806354403495789,0.5593955367803574,0.9511253237724304,-0.842492938041687,0.9523097276687622,1.6194278001785278,-1.0656392574310303,0.8555761575698853,1.8734495639801025,-2.0794363021850586,0.15435519814491272,1.6357018947601318,-0.5645362734794617,0.12360534816980362,2.116652727127075,-1.3199512958526611,0.5431675612926483,2.0669976472854614,0.003142721951007843,0.6958824992179871,2.945141553878784,-0.019683068618178368,0.6637692451477051,3.6921865940093994,1.2609089612960815,0.3201872408390045,2.924510955810547,0.38894107937812805,0.31995368003845215,3.652015209197998,1.4694327116012573
783.099,97,2,0,0,0,0,12,-1,12,-1,11,-1,10,-1,9,-1,8,-1,8,-1,8,-2,7,-1,6,-2,6,-2,5,-2,5,-2,0,0,5,-2,5,-2,6,-2,6,-2,6,-2,6,-2,7,-2,8,-2,8,-2,8,-2,8,-2,9,-1,10,-1,0,0,0,0,1,-2,22,0,23,0,23,0,24,0,24,0,24,0,26,0,27,0,28,0,29,0,30,0,30,0,32,0,32,1,34,1,36,1,37,1,36,1,40,1,41,1,42,1,44,1,46,1,47,1,47,1,48,1,47,1,48,1,50,1,0,0,1,-2,0.6201174855232239,0.5169348120689392,-1.4516570568084717,0.5613873824477196,0.9554683566093445,-0.8807106018066406,0.9706160426139832,1.5651860237121582,-1.222728967666626,0.8515461683273315,1.5823891162872314,-2.1387128829956055,0.15225352346897125,1.616260290145874,-0.5764314532279968,0.18907062709331512,2.096174716949463,-1.2597898244857788,0.5374654233455658,2.07240629196167,0.0033448338508605957,0.6939796209335327,2.952739715576172,-0.23037651181221008,0.6636626720428467,3.7403321266174316,0.8594331741333008,0.3198271095752716,2.9232547283172607,0.08661873638629913,0.31555670499801636,3.67572283744812,0.9263955354690552
783.15,97,2,0,0,0,0,12,0,11,0,10,0,9,0,10,0,8,0,7,0,7,0,6,0,5,0,5,0,5,0,5,0,0,0,5,0,5,0,5,-1,5,0,5,0,5,0,6,0,7,0,7,0,7,0,7,0,8,0,8,0,0,0,0,0,1,-2,21,1,23,1,24,1,25,1,25,1,25,1,26,2,27,2,28,2,29,2,30,2,31,2,33,2,34,2,35,2,36,2,39,2,39,3,41,3,43,3,44,-3,46,-3,46,-2,48,-2,48,-2,50,-2,49,-2,51,-2,52,-2,1,-2,1,-2,0.620126336812973,0.5192371606826782,-1.4568076133728027,0.5636578500270844,0.9565652012825012,-0.8808714747428894,0.9646027684211731,1.561271071434021,-1.0042250156402588,0.8544942736625671,1.6583672761917114,-1.7906545400619507,0.1402508169412613,1.602311372756958,-0.5924288630485535,0.2020256519317627,2.0686323642730713,-1.3047460317611694,0.5360194444656372,2.068229913711548,0.0034485235810279846,0.6954289674758911,2.9596705436706543,-0.23271074891090393,0.6632735133171082,3.7527456283569336,0.8547323942184448,0.3169240951538086,2.9251065254211426,0.10451314598321915,0.3020046055316925,3.6955978870391846,0.9343565106391907
783.17,97,2,0,0,0,0,11,0,10,0,9,0,9,0,8,0,8,0,7,0,6,0,6,0,6,0,5,0,5,0,4,0,0,0,4,0,4,0,4,0,5,0,5,0,5,0,5,0,6,0,6,0,7,0,7,0,8,0,8,0,0,0,0,0,1,-2,21,2,23,2,24,2,25,2,25,2,26,2,27,2,28,2,29,2,30,3,31,-3,31,-3,33,-2,34,-2,35,-2,36,-2,38,-2,39,-2,41,-2,43,-2,44,-2,45,-2,45,-2,48,-2,48,-2,49,-2,48,-2,50,-2,51,-2,1,-2,1,-2,0.6203383356332779,0.5210916996002197,-1.5744596719741821,0.565859466791153,0.9556724429130554,-0.9620609283447266,0.9599884748458862,1.5539518594741821,-1.0124964714050293,0.8550893068313599,1.7149169445037842,-1.7565056085586548,0.14354807138442993,1.5869604349136353,-0.6210970282554626,0.2144739180803299,2.0452964305877686,-1.2724987268447876,0.5380770266056061,2.053230047225952,0.003443777561187744,0.6954401731491089,2.9517221450805664,-0.247077077627182,0.6619279384613037,3.747708320617676,0.8389341235160828,0.3166976273059845,2.9141504764556885,0.13118959963321686,0.30110639333724976,3.6937129497528076,0.9591068029403687
783.233,97,2,0,0,0,0,12,0,12,0,10,0,10,0,9,0,9,0,7,0,6,0,7,0,5,0,5,0,5,0,4,0,0,0,4,0,4,0,5,0,4,0,4,0,5,0,5,0,6,0,7,0,7,0,7,0,8,0,9,0,0,0,0,0,1,-2,21,1,23,1,23,1,24,1,25,2,25,2,27,2,28,2,28,2,29,2,30,2,31,2,32,2,34,2,35,2,36,2,38,3,39,-3,41,-3,41,-2,44,-2,44,-2,46,-2,49,-2,48,-2,50,-2,49,-2,50,-2,51,-2,1,-2,1,-2,0.6199306696653366,0.5210258066654205,-1.5664694905281067,0.5662895739078522,0.9549131691455841,-0.9781734347343445,0.9530731439590454,1.549098253250122,-0.7307913899421692,0.8650633096694946,1.8727434873580933,-1.2264610528945923,0.14378586411476135,1.5795201063156128,-0.6768926382064819,0.20223788917064667,2.005798816680908,-1.2843698263168335,0.5412964969873428,2.038158416748047,0.0033238977193832397,0.6982068419456482,2.941437244415283,-0.20875880122184753,0.6620049476623535,3.737830877304077,0.9313869476318359,0.31665220856666565,2.908642530441284,0.1666392982006073,0.3015928864479065,3.6913537979125977,1.0140550136566162
783.264,97,2,0,0,0,0,12,1,11,1,10,1,9,1,9,1,8,1,7,1,7,1,6,1,5,1,5,1,5,1,4,1,0,0,4,1,4,1,4,1,4,1,4,1,5,1,5,1,5,1,6,1,6,1,7,1,8,1,9,1,0,0,0,0,1,-2,22,-2,23,-2,25,-2,25,-2,26,-2,27,-2,27,-2,29,-2,30,-2,30,-2,31,-2,31,-1,33,-1,34,-1,35,-1,37,-1,39,-1,39,-1,41,-1,42,-1,43,-1,44,-1,46,-1,47,-1,48,-1,50,-1,48,-1,50,-1,51,-1,1,-2,0,0,0.6177270412445068,0.5188969075679779,-1.5244768261909485,0.5666161477565765,0.9543086886405945,-0.9528670012950897,0.9503597021102905,1.5529820919036865,-0.6811538338661194,0.8692117929458618,1.9717345237731934,-1.184320330619812,0.13745442032814026,1.5753352642059326,-0.6647018194198608,0.16669026017189026,1.9875568151474,-1.2673577070236206,0.5418640971183777,2.038059711456299,0.0033716633915901184,0.700579822063446,2.9418187141418457,-0.18397286534309387,0.6645627617835999,3.737912178039551,0.9298608899116516,0.3159337639808655,2.911809206008911,0.18585547804832458,0.301851361989975,3.6996803283691406,1.040619134902954
783.296,97,2,0,0,0,0,12,-1,13,-2,10,-1,10,-1,10,-1,9,-1,8,-2,8,-2,7,-1,8,-2,6,-2,6,-2,5,-2,0,0,5,-2,5,-2,5,-2,6,-2,5,-2,6,-2,6,-2,7,-1,7,-1,8,-1,8,-1,9,-1,10,-1,0,0,0,0,1,-2,21,0,22,0,23,0,23,0,24,0,25,0,26,0,26,0,28,0,28,1,30,1,30,1,31,1,33,1,35,1,36,1,37,1,38,1,40,1,42,1,43,2,43,2,44,2,47,2,47,2,48,2,47,2,50,2,50,2,1,-2,0,0,0.615667313337326,0.5179076194763184,-1.5089311599731445,0.5659503638744354,0.9536568522453308,-0.942880243062973,0.9470218420028687,1.5555527210235596,-0.7409655451774597,0.8719111680984497,2.001149892807007,-1.3142344951629639,0.13125833868980408,1.5768095254898071,-0.6511229276657104,0.1669556349515915,1.9998207092285156,-1.2691388130187988,0.5426748394966125,2.0333173274993896,0.00338020920753479,0.702484130859375,2.93829345703125,-0.18045204877853394,0.6651954054832458,3.734408140182495,0.9548714756965637,0.31519731879234314,2.9126031398773193,0.4110548496246338,0.3020590841770172,3.6973483562469482,1.3946834802627563
783.327,97,2,0,0,0,0,13,3,12,3,12,3,11,3,10,3,10,3,8,3,8,3,7,2,6,2,6,2,6,2,5,2,0,0,5,2,5,2,5,2,5,2,6,2,6,2,6,2,7,2,7,2,8,3,8,3,9,3,9,3,0,0,0,0,1,-2,23,-1,23,-1,25,-1,25,-1,25,-1,26,-1,27,0,27,0,29,0,29,0,29,0,30,0,32,0,33,0,34,0,35,0,37,0,38,0,39,0,40,0,43,0,42,0,43,0,46,0,46,0,48,0,46,0,48,0,49,0,1,-2,0,0,0.6156584173440933,0.5173865258693695,-1.644550621509552,0.5650375559926033,0.953064888715744,-1.050301969051361,0.9424902200698853,1.5517417192459106,-0.8409482836723328,0.8755316734313965,1.9990944862365723,-1.4780675172805786,0.13105995953083038,1.582075834274292,-0.858920693397522,0.18052208423614502,2.0072789192199707,-1.5762922763824463,0.5439680367708206,2.026058554649353,0.0034407228231430054,0.7045142650604248,2.933612823486328,-0.11253772675991058,0.6653459668159485,3.725473642349243,1.0708296298980713,0.3149872422218323,2.909107208251953,0.2303454428911209,0.2993775010108948,3.687350034713745,1.190084457397461
783.357,97,2,0,0,0,0,13,-2,12,-2,11,-3,11,3,10,3,10,3,9,3,8,3,8,3,7,3,6,2,6,2,6,2,0,0,5,2,6,2,6,2,6,2,6,2,6,2,7,2,7,2,8,3,8,3,9,3,10,-3,10,-3,0,0,0,0,1,-2,23,-1,23,-1,24,-1,25,-1,26,-1,26,0,28,0,28,0,29,0,29,0,30,0,30,0,32,0,33,0,34,0,36,0,38,0,38,0,40,0,41,0,43,0,43,0,44,0,47,0,46,0,48,0,47,0,48,0,50,0,1,-2,0,0,0.6151170283555984,0.5162831842899323,-1.6249661445617676,0.5665830001235008,0.9522975087165833,-1.0428863763809204,0.9426425099372864,1.5312238931655884,-0.7398864030838013,0.8887330293655396,1.9127147197723389,-1.2863214015960693,0.1325034350156784,1.5832688808441162,-0.8291424512863159,0.19583508372306824,2.013227939605713,-1.4761790037155151,0.5491847991943359,2.0219517946243286,0.0033804774284362793,0.7150213122367859,2.9292876720428467,-0.11241314560174942,0.6776779294013977,3.7202229499816895,1.0131189823150635,0.32035762071609497,2.9053008556365967,0.0801566019654274,0.30735838413238525,3.681302309036255,0.9261428713798523
783.39,97,2,0,0,0,0,12,2,12,2,11,2,10,2,9,2,9,2,7,2,7,2,6,2,7,2,5,2,5,2,5,2,0,0,5,2,5,2,5,2,5,2,5,2,5,2,7,2,7,2,7,2,7,2,8,2,9,2,9,2,0,0,0,0,1,-2,23,-2,24,-2,25,-2,26,-1,26,-1,26,-1,28,-1,29,-1,30,-1,30,-1,32,-1,31,-1,34,-1,34,-1,35,0,37,0,38,0,37,0,40,0,41,0,42,0,43,0,46,0,47,0,46,0,48,0,48,0,48,0,50,0,0,0,0,0,0.6150014847517014,0.5157109797000885,-1.6547091603279114,0.5670234113931656,0.9520927667617798,-1.050386130809784,0.9422165751457214,1.530696988105774,-0.7963389158248901,0.8878344297409058,1.8630982637405396,-1.5493193864822388,0.13287191092967987,1.5838419198989868,-0.8828692436218262,0.19330669939517975,2.021233081817627,-1.5396816730499268,0.5494586378335953,2.0224801301956177,0.003385450690984726,0.7145920395851135,2.930715322494507,-0.11259260028600693,0.6772445440292358,3.720270872116089,1.0027523040771484,0.3203025460243225,2.9055445194244385,-0.0006345082074403763,0.30717241764068604,3.6810121536254883,0.8697506189346313
