timestamp,subcarrier01_mag,subcarrier01_ang,subcarrier02_mag,subcarrier02_ang,subcarrier03_mag,subcarrier03_ang,subcarrier04_mag,subcarrier04_ang,subcarrier05_mag,subcarrier05_ang,subcarrier06_mag,subcarrier06_ang,subcarrier07_mag,subcarrier07_ang,subcarrier08_mag,subcarrier08_ang,subcarrier09_mag,subcarrier09_ang,subcarrier10_mag,subcarrier10_ang,subcarrier11_mag,subcarrier11_ang,subcarrier12_mag,subcarrier12_ang,subcarrier13_mag,subcarrier13_ang,subcarrier14_mag,subcarrier14_ang,subcarrier15_mag,subcarrier15_ang,subcarrier16_mag,subcarrier16_ang,subcarrier17_mag,subcarrier17_ang,subcarrier18_mag,subcarrier18_ang,subcarrier19_mag,subcarrier19_ang,subcarrier20_mag,subcarrier20_ang,subcarrier21_mag,subcarrier21_ang,subcarrier22_mag,subcarrier22_ang,subcarrier23_mag,subcarrier23_ang,subcarrier24_mag,subcarrier24_ang,subcarrier25_mag,subcarrier25_ang,subcarrier26_mag,subcarrier26_ang,subcarrier27_mag,subcarrier27_ang,subcarrier28_mag,subcarrier28_ang,subcarrier29_mag,subcarrier29_ang,subcarrier30_mag,subcarrier30_ang,subcarrier31_mag,subcarrier31_ang,subcarrier32_mag,subcarrier32_ang,subcarrier33_mag,subcarrier33_ang,subcarrier34_mag,subcarrier34_ang,subcarrier35_mag,subcarrier35_ang,subcarrier36_mag,subcarrier36_ang,subcarrier37_mag,subcarrier37_ang,subcarrier38_mag,subcarrier38_ang,subcarrier39_mag,subcarrier39_ang,subcarrier40_mag,subcarrier40_ang,subcarrier41_mag,subcarrier41_ang,subcarrier42_mag,subcarrier42_ang,subcarrier43_mag,subcarrier43_ang,subcarrier44_mag,subcarrier44_ang,subcarrier45_mag,subcarrier45_ang,subcarrier46_mag,subcarrier46_ang,subcarrier47_mag,subcarrier47_ang,subcarrier48_mag,subcarrier48_ang,subcarrier49_mag,subcarrier49_ang,subcarrier50_mag,subcarrier50_ang,subcarrier51_mag,subcarrier51_ang,subcarrier52_mag,subcarrier52_ang,subcarrier53_mag,subcarrier53_ang,subcarrier54_mag,subcarrier54_ang,subcarrier55_mag,subcarrier55_ang,subcarrier56_mag,subcarrier56_ang,subcarrier57_mag,subcarrier57_ang,subcarrier58_mag,subcarrier58_ang,subcarrier59_mag,subcarrier59_ang,subcarrier60_mag,subcarrier60_ang,subcarrier61_mag,subcarrier61_ang,subcarrier62_mag,subcarrier62_ang,subcarrier63_mag,subcarrier63_ang,subcarrier64_mag,subcarrier64_ang
835.718,97,2,0,0,0,0,15,2,15,2,15,2,15,2,15,2,15,2,15,1,15,1,15,1,13,1,13,1,13,1,13,1,0,0,13,2,12,2,13,2,13,2,13,2,13,2,13,2,14,2,14,2,14,2,14,2,14,2,14,2,0,0,0,0,1,-2,31,-2,30,-2,30,-2,30,-2,30,-2,30,-2,30,-2,30,-2,30,-2,30,-2,31,-2,30,-2,30,-1,31,-1,31,-1,31,-1,32,-1,33,-1,34,-1,34,-1,35,-1,35,-1,36,-1,37,-1,35,-1,36,-1,36,-2,36,-2,35,-2,1,-2,0,0
835.991,97,2,0,0,0,0,15,2,14,2,14,2,14,2,14,2,14,2,13,2,13,2,13,2,13,2,12,2,12,2,12,2,0,0,11,2,12,2,12,2,11,2,12,2,11,2,11,2,12,2,11,2,12,2,12,2,12,2,13,2,0,0,0,0,1,-2,26,-1,27,-1,27,-1,26,-1,26,-1,26,-1,27,-1,27,-1,27,-1,27,-1,28,-1,28,-1,28,-1,28,-1,29,-1,29,-1,30,-1,30,-1,31,-1,32,-1,32,-1,32,-1,34,-1,35,-1,36,-1,36,-1,36,-1,37,-1,36,-1,1,-2,0,0
836.055,97,2,0,0,0,0,17,1,17,1,16,1,16,1,16,1,16,1,16,1,15,1,14,1,14,1,14,1,13,1,14,1,0,0,13,1,13,1,13,1,12,1,12,1,13,1,13,1,13,2,12,2,13,2,13,2,15,2,15,2,0,0,0,0,1,-2,31,-2,32,-2,31,-2,31,-2,31,-2,31,-2,31,-2,32,-2,32,-2,31,-2,32,-2,32,-2,33,-2,34,-2,34,-1,34,-1,36,-1,35,-1,37,-1,37,-1,39,-1,39,-1,40,-1,41,-1,42,-1,42,-1,40,-1,42,-1,42,-2,0,0,0,0
836.087,97,2,0,0,0,0,15,0,14,-1,15,-1,15,-1,15,-1,14,-1,14,-1,14,-1,14,-1,14,-1,13,-1,12,-1,12,-1,0,0,12,-1,11,-1,11,-1,12,-1,12,-1,12,-1,13,-1,13,-1,12,0,12,0,12,0,13,0,13,0,0,0,0,0,1,-2,26,0,26,0,25,0,25,0,25,0,25,0,25,0,26,1,25,1,26,1,26,1,26,1,26,1,27,1,28,1,28,1,28,1,29,1,30,1,31,1,31,1,32,1,33,1,34,1,34,1,35,1,33,1,34,1,34,1,0,0,1,-2
836.14,97,2,0,0,0,0,16,2,16,2,15,2,15,2,15,2,15,2,15,2,14,2,14,2,13,2,13,2,13,2,13,2,0,0,12,2,11,2,12,2,12,2,11,2,12,2,12,2,12,2,12,2,12,2,13,2,13,2,13,2,0,0,0,0,1,-2,27,-2,26,-2,27,-2,28,-2,27,-2,27,-1,27,-1,27,-1,27,-1,27,-1,27,-1,27,-1,28,-1,28,-1,29,-1,29,-1,30,-1,31,-1,31,-1,32,-1,33,-1,33,-1,33,-1,34,-1,34,-1,35,-1,34,-1,34,-1,33,-1,1,-2,0,0
836.172,97,2,0,0,0,0,18,-1,18,-1,18,-2,17,-2,17,-2,17,-2,18,-2,16,-2,17,-2,15,-2,15,-2,14,-2,15,-2,0,0,13,-2,13,-2,14,-2,14,-2,13,-1,13,-1,14,-1,14,-1,14,-1,14,-1,14,-1,15,-1,15,-1,0,0,0,0,1,-2,30,0,29,0,29,0,28,0,28,0,28,0,28,0,28,0,28,0,29,0,29,0,28,0,28,0,28,0,29,0,30,0,30,0,29,0,31,0,33,0,33,0,33,0,35,0,36,0,34,0,35,0,34,0,35,0,35,0,1,-2,1,-2
836.213,97,2,0,0,0,0,17,1,18,1,17,1,16,1,17,1,16,1,17,1,15,1,14,1,14,1,14,1,14,1,14,1,0,0,14,1,13,1,13,1,13,1,12,1,13,1,13,1,13,1,13,1,13,1,14,1,14,1,14,1,0,0,0,0,1,-2,29,3,29,3,29,-3,29,-3,29,-3,29,-3,28,-2,28,-2,28,-2,29,-2,29,-2,28,-2,28,-2,28,-2,30,-2,31,-2,30,-2,30,-2,32,-2,33,-2,33,-2,34,-2,35,-2,35,-2,34,-2,35,-2,33,-2,33,-2,34,-2,1,-2,0,0
836.237,97,2,0,0,0,0,18,0,18,0,18,0,18,0,17,0,17,0,17,0,16,0,16,0,15,0,15,0,15,0,14,0,0,0,13,0,14,0,13,0,13,0,13,0,13,0,12,0,13,0,13,0,13,0,13,0,14,0,14,0,0,0,0,0,1,-1,28,1,29,1,28,1,28,1,27,1,28,1,28,1,28,1,27,1,27,1,27,1,27,1,27,1,28,1,29,1,29,2,29,2,30,2,30,2,31,2,32,2,32,2,32,2,33,2,32,1,33,1,32,1,32,1,32,1,1,-1,0,0
836.275,97,2,0,0,0,0,19,1,18,1,18,1,18,1,18,1,17,1,17,1,17,1,16,1,16,1,16,1,14,1,15,1,0,0,14,1,13,1,13,1,13,1,13,1,13,1,13,1,13,1,13,2,13,2,13,2,13,2,13,2,0,0,0,0,1,-2,29,-2,29,-2,28,-2,28,-2,28,-2,27,-2,28,-2,28,-2,28,-2,28,-2,29,-2,27,-2,28,-2,29,-2,29,-2,28,-2,29,-2,29,-2,30,-2,31,-2,30,-2,31,-2,32,-2,33,-2,32,-2,33,-2,32,-2,33,-2,32,-2,0,0,0,0
836.305,97,2,0,0,0,0,18,1,18,1,18,1,18,0,17,0,17,0,17,0,17,0,16,0,16,0,16,0,14,0,14,0,0,0,13,0,13,1,13,1,13,1,12,1,13,1,13,1,13,1,13,1,12,1,13,1,14,1,14,1,0,0,0,0,1,-2,29,2,29,2,27,2,26,2,26,2,26,2,26,2,26,2,27,2,27,2,27,3,27,3,27,3,27,3,27,-3,29,2,28,-3,28,-3,29,-3,29,-3,30,-3,30,-3,31,-3,32,3,31,3,31,3,31,3,30,3,30,2,0,0,1,-2
